Track Name,Track Lat,Track Long
Albert Park,-37.8497,144.968
Americas,30.1328,-97.6411
Bahrain,26.0325,50.5106
Baku,40.3725,49.8533
Catalunya,41.57,2.26111
Hungaroring,47.5789,19.2486
Imola,44.3439,11.7167
Interlagos,-23.7036,-46.6997
Jeddah,21.6319,39.1044
Marina bay,1.2914,103.864
Miami,25.9581,-80.2389
Monaco,43.7347,7.42056
Monza,45.6156,9.28111
Red Bull Ring,47.2197,14.7647
Ricard,43.2506,5.79167
Rodriguez,19.4042,-99.0907
Silverstone,52.0786,-1.01694
Spa,50.4372,5.97139
Suzuka,34.8431,136.541
Villeneuve,45.5,-73.5228
Yas Marina,24.4672,54.6031
Zandvoort,52.3888,4.54092
